"j_nr";"activity_id";"activity_type";"activity_country";"activity_city";"activity_city_latitude";"activity_city_longitude";"activity_venue";"activity_venue_web";"activity_fee";"activity_fee_currency"
"A-2023-0004";"A-2023-0004-AC1";"Koncert";"Danmark";"København";55,6867243;12,5700724;"Opera husets foyer";NA;NA;NA
"A-2023-0006";"A-2023-0006-AC1";"Koncert";"USA";"New York";40,7127281;-74,0060152;"Weill Recital Hall";NA;NA;NA
"A-2023-0006";"A-2023-0006-AC2";"Koncert";"USA";"Pennsylvania";51,4586203;-2,3689861;"The Cooperage";NA;NA;NA
"A-2023-0006";"A-2023-0006-AC3";"Koncert";"USA";"New York";40,7127281;-74,0060152;"Tenri Cultural Institute";NA;NA;NA
"A-2023-0007";"A-2023-0007-AC1";"Koncert";"Danmark";"København";55,6867243;12,5700724;"Mayhem";NA;NA;NA
"A-2023-0008";"A-2023-0008-AC1";"Koncert";"Sverige";"Stockholm";59,3251172;18,0710935;"Koncerthuset";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC1";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC10";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC11";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC12";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC2";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC3";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC4";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC5";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC6";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC7";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC8";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0010";"A-2023-0010-AC9";"Koncert";"Danmark";"Ebeltoft";56,1988382;10,6770909;"";NA;NA;NA
"A-2023-0011";"A-2023-0011-AC1";"Koncert";"Danmark";"København";55,6867243;12,5700724;"Statens Museum for Kunst";NA;NA;NA
"A-2023-0012";"A-2023-0012-AC1";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Aulaen";NA;NA;NA
"A-2023-0012";"A-2023-0012-AC2";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Aarhus Universitet";NA;NA;NA
"A-2023-0012";"A-2023-0012-AC3";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Møntmestergården";NA;NA;NA
"A-2023-0012";"A-2023-0012-AC4";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Den Gamle By";NA;NA;NA
"A-2023-0012";"A-2023-0012-AC5";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Voxhall";NA;NA;NA
"A-2023-0012";"A-2023-0012-AC6";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Voxhall";NA;NA;NA
"A-2023-0014";"A-2023-0014-AC1";"Koncert";"Rumænien";"Iasi";47,1615598;27,5837814;"Palace of Culture";NA;NA;NA
"A-2023-0014";"A-2023-0014-AC2";"Koncert";"Rumænien";"Iasi";47,1615598;27,5837814;"Classix 2023";NA;NA;NA
"A-2023-0015";"A-2023-0015-AC1";"Koncert";"Danmark";"Vejle";55,7000057;9,5333238;"Hyttebyen";NA;NA;NA
"A-2023-0017";"A-2023-0017-AC1";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Anexet ved Lundsgaard Gods";NA;NA;NA
"A-2023-0017";"A-2023-0017-AC2";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Johannes Larsen Museet";NA;NA;NA
"A-2023-0017";"A-2023-0017-AC3";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Anexet ved Lundsgaard Gods";NA;NA;NA
"A-2023-0017";"A-2023-0017-AC4";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Kerteminde Kirke";NA;NA;NA
"A-2023-0017";"A-2023-0017-AC5";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Anexet ved Lundsgaard Gods";NA;NA;NA
"A-2023-0017";"A-2023-0017-AC6";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Skoven";NA;NA;NA
"A-2023-0018";"A-2023-0018-AC1";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Anexet ved Lundsgaard Gods";NA;NA;NA
"A-2023-0019";"A-2023-0019-AC1";"Koncert";"Danmark";"Kerteminde";55,4532771;10,6547783;"Anexet ved Lundsgaard Gods";NA;NA;NA
"A-2023-0020";"A-2023-0020-AC1";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Godsbanen";NA;NA;NA
"A-2023-0020";"A-2023-0020-AC2";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Godsbanen";NA;NA;NA
"A-2023-0020";"A-2023-0020-AC3";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Det Jyske Musikkonservatorium";NA;NA;NA
"A-2023-0020";"A-2023-0020-AC4";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Det Jyske Musikkonservatorium";NA;NA;NA
"A-2023-0020";"A-2023-0020-AC5";"Koncert";"Danmark";"Rønde";56,3015637;10,4754416;"Kulturhotellet";NA;NA;NA
"A-2023-0020";"A-2023-0020-AC6";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"Vor Frue Kirke";NA;NA;NA
"A-2023-0021";"A-2023-0021-AC1";"Koncert";"Libanon";"Beirut";33,88922645;35,5025585289523;"";NA;NA;NA
"A-2023-0021";"A-2023-0021-AC2";"Koncert";"Libanon";"Hammana";33,8269773;35,7359048;"";NA;NA;NA
"A-2023-0021";"A-2023-0021-AC3";"Koncert";"Libanon";"Becharre";34,2507231;36,0099915;"";NA;NA;NA
"A-2023-0021";"A-2023-0021-AC4";"Koncert";"Libanon";"Baabdat";33,8872681;35,6675434;"";NA;NA;NA
"A-2023-0022";"A-2023-0022-AC1";"Koncert";"Danmark";"Viby";56,1290327;10,1624334;"Viby Efterskole";NA;NA;NA
"A-2023-0023";"A-2023-0023-AC1";"Koncert";"Danmark";"Aarhus";56,1496278;10,2134046;"SPOR Festival";NA;NA;NA
"A-2023-0027";"A-2023-0027-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Tyskland";"Freiburg";47,9960901;7,8494005;"";NA;NA;NA
"A-2023-0027";"A-2023-0027-AC2";"Koncert";"Tyskland";"Freiburg";47,9960901;7,8494005;"";NA;NA;NA
"A-2023-0032";"A-2023-0032-AC1";"Koncert";"Danmark";"København";55,6867243;12,5700724;"Koncertkirken";NA;NA;NA
"A-2023-0033";"A-2023-0033-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"København";55,6867243;12,5700724;"Mayhem";NA;NA;NA
"A-2023-0040";"A-2023-0040-AC1";"Koncert";"Litauen";"Druskininkai";54,0171932;23,9772282;"Druskininkai Piano Festival";NA;NA;NA
"A-2023-0040";"A-2023-0040-AC2";"Koncert";"Litauen";"Tytuvenai";55,5969957;23,1974479;"Tytuvenai Summer Festival";NA;NA;NA
"A-2023-0040";"A-2023-0040-AC3";"Koncert";"Litauen";"Alytus";54,3961344;24,0459268;"Alytus Festival";NA;NA;NA
"A-2023-0041";"A-2023-0041-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"Aarhus";56,1496278;10,2134046;"SPOR Festival";NA;NA;NA
"A-2023-0045";"A-2023-0045-AC1";"Koncert";"Holland";"'s-Hertogenbosch";51,6889387;5,303116;"November Music festival";NA;NA;NA
"A-2023-0046";"A-2023-0046-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Spanien";"Barcelona";41,3828939;2,1774322;"";NA;NA;NA
"A-2023-0046";"A-2023-0046-AC2";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"København";55,6867243;12,5700724;"";NA;NA;NA
"A-2023-0052";"A-2023-0052-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Italien";"Milano";45,4641943;9,1896346;"";NA;NA;NA
"A-2023-0052";"A-2023-0052-AC2";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Italien";"Milano";45,4641943;9,1896346;"";NA;NA;NA
"A-2023-0053";"A-2023-0053-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Sverige";"Malmö";55,6052931;13,0001566;"";NA;NA;NA
"A-2023-0054";"A-2023-0054-AC1";"Koncert";"Danmark";"Holstebro";56,3590324;8,6159188;"Orkesterefterskolen";NA;NA;NA
"A-2023-0059";"A-2023-0059-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Sverige";"Stockholm";59,3251172;18,0710935;"EMS";"https://www.elektronmusikstudion.se/";0;"DKK"
"A-2023-0061";"A-2023-0061-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Tyskland";"Berlin";52,5170365;13,3888599;"Mi-So Store / Gallery Space";"https://www.mi-so-store.com/";0;"DKK"
"A-2023-0061";"A-2023-0061-AC2";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Tyskland";"Berlin";52,5170365;13,3888599;"Studio Boerne 45";"http://studioboerne45.de/";3500;"DKK"
"A-2023-0061";"A-2023-0061-AC3";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Tyskland";"Berlin";52,5170365;13,3888599;"Studio Boerne 45";"http://studioboerne45.de/";3500;"DKK"
"A-2023-0061";"A-2023-0061-AC4";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Tyskland";"Berlin";52,5170365;13,3888599;"Studio Boerne 45";"http://studioboerne45.de/";0;"DKK"
"A-2023-0064";"A-2023-0064-AC1";"Koncert";"Danmark";"København V";NA;NA;"Musikhuset København";"https://www.musikhusetkoebenhavn.dk/";4000;"DKK"
"A-2023-0064";"A-2023-0064-AC2";"Koncert";"Danmark";"København V";NA;NA;"Musikhuset København";"https://www.musikhusetkoebenhavn.dk/";4000;"DKK"
"A-2023-0064";"A-2023-0064-AC3";"Koncert";"Danmark";"København N";NA;NA;"KoncertKirken";"https://www.koncertkirken.dk/";4000;"DKK"
"A-2023-0064";"A-2023-0064-AC4";"Koncert";"Danmark";"København V";NA;NA;"Musikhuset København";"https://www.musikhusetkoebenhavn.dk/";4000;"DKK"
"A-2023-0064";"A-2023-0064-AC5";"Koncert";"Danmark";"København N";NA;NA;"KoncertKirken";"https://www.koncertkirken.dk/";4000;"DKK"
"A-2023-0069";"A-2023-0069-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"Ålborg";57,0462626;9,9215263;"Nordkraft";"-";0;"DKK"
"A-2023-0069";"A-2023-0069-AC2";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"Ålborg";57,0462626;9,9215263;"Nordkraft";"-";0;"DKK"
"A-2023-0069";"A-2023-0069-AC3";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"Ålborg";57,0462626;9,9215263;"Nordkraft";"https://www.aalborgopera.dk/";0;"DKK"
"A-2023-0069";"A-2023-0069-AC4";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"Ålborg";57,0462626;9,9215263;"Nordkraft";"https://www.aalborgopera.dk/";0;"DKK"
"A-2023-0069";"A-2023-0069-AC5";"Koncert";"Danmark";"Ålborg";57,0462626;9,9215263;"Nordkraft";"https://www.aalborgopera.dk/";0;"DKK"
"A-2023-0069";"A-2023-0069-AC6";"Koncert";"Danmark";"Ålborg";57,0462626;9,9215263;"Nordkraft";"https://www.aalborgopera.dk/";1e+05;"DKK"
"A-2023-0070";"A-2023-0070-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"Aalborg";57,0462626;9,9215263;"Salen på Det gl. Rådhus i Nørresundby, Aalborg";"-";1200;"DKK"
"A-2023-0071";"A-2023-0071-AC1";"Koncert";"Tyskland";"Berlin";52,5170365;13,3888599;"Køpi";"https://koepi137.net/";1500;"DKK"
"A-2023-0072";"A-2023-0072-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"USA";"New York";40,7127281;-74,0060152;"Town Hall";"https://www.liberaawards.com/news/libera-award-nominees-2023";0;"DKK"
"A-2023-0073";"A-2023-0073-AC1";"Koncert";"Sverige";"Stockholm";59,3251172;18,0710935;"Stockhom Koncerthus";"https://www.konserthuset.se/program-och-biljetter/konsertserier/ny-fredag/";30000;"DKK"
"A-2023-0073";"A-2023-0073-AC2";"Koncert";"Danmark";"København";55,6867243;12,5700724;"Folketeatret, Hipodromen";"https://www.folketeatret.dk/";30000;"DKK"
"A-2023-0074";"A-2023-0074-AC1";"Koncert";"Holland";"Den Haag ";52,0799838;4,3113461;"HOK Gallery";"https://www.hokgallery.com/";0;"DKK"
"A-2023-0075";"A-2023-0075-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Danmark";"Kerteminde";55,4532771;10,6547783;"Lundsgaard Gods";"https://lundsgaardgods.dk/";0;"DKK"
"A-2023-0076";"A-2023-0076-AC1";"Koncert";"Island";"Reykjavík";64,145981;-21,9422367;"Raflost Festival 2023";"http://www.raflost.is/";1200;"DKK"
"A-2023-0076";"A-2023-0076-AC2";"Koncert";"Island";"Reykjavík";64,145981;-21,9422367;"Mengi";"https://mengi.net/";0;"DKK"
"A-2023-0077";"A-2023-0077-AC1";"Anden aktivitet (f.eks. netværksevents, konferencer m.m.)";"Tyskland";"Riesa";51,3038241;13,308828;"International Dance Organisation (IDO) VW Showdance ";"https://www.ido-dance.com/ceis/ido/competitions/calendar/2023_1959.html";0;"DKK"
"A-2023-0078";"A-2023-0078-AC1";"Koncert";"Sverige";"Malmö";55,6052931;13,0001566;"Intonal festival";"https://www.intonalfestival.com/";3290;"DKK"
"A-2023-0078";"A-2023-0078-AC2";"Koncert";"Norge";"Oslo";59,9133301;10,7389701;"Hotbox";"https://hotboxnoise.com/hotbox-venue";3290;"DKK"
"A-2023-0079";"A-2023-0079-AC1";"Koncert";"Norge";"Mandal";58,0268181;7,4534802;"Buen kulturhus Mandal";"https://www.mv-mandal.com/";5724;"DKK"
"A-2023-0079";"A-2023-0079-AC2";"Koncert";"Norge";"Haug";60,1744697;10,3223013;"Haug Kirke";"https://www.eiker.kirken.no/Menighetene-Kirkene/Haug-menighet";5724;"DKK"
