"j_nr";"participant_group_id";"participant_gender_group";"participant_age_under18";"participant_age_18_24";"participant_age_25_29";"participant_age_30_39";"participant_age_40_49";"participant_age_50_59";"participant_age_60_over"
"A-2023-0070";"A-2023-0070-PG1";"Kvinder";0;0;0;0;0;1;0
"A-2023-0071";"A-2023-0071-PG1";"Mænd";0;0;1;1;0;0;0
"A-2023-0072";"A-2023-0072-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0073";"A-2023-0073-PG1";"Kvinder";0;0;0;4;0;0;0
"A-2023-0074";"A-2023-0074-PG1";"Non-binær";0;0;0;1;0;0;0
"A-2023-0075";"A-2023-0075-PG1";"Ønsker ikke at besvare";0;20;0;0;0;0;0
"A-2023-0075";"A-2023-0075-PG2";"Kvinder";0;0;0;0;2;0;0
"A-2023-0075";"A-2023-0075-PG3";"Mænd";0;0;0;4;4;0;1
"A-2023-0076";"A-2023-0076-PG1";"Non-binær";0;0;0;1;0;0;0
"A-2023-0077";"A-2023-0077-PG1";"Mænd";3;0;0;0;0;0;0
"A-2023-0077";"A-2023-0077-PG2";"Kvinder";36;0;0;0;0;0;0
"A-2023-0078";"A-2023-0078-PG1";"Mænd";0;0;1;2;0;0;0
"A-2023-0079";"A-2023-0079-PG1";"Mænd";0;0;0;0;0;3;0
"A-2023-0079";"A-2023-0079-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0080";"A-2023-0080-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0080";"A-2023-0080-PG2";"Kvinder";0;0;2;0;0;0;0
"A-2023-0081";"A-2023-0081-PG1";"Mænd";0;0;0;0;1;0;1
"A-2023-0082";"A-2023-0082-PG1";"Mænd";0;0;0;2;1;0;0
"A-2023-0082";"A-2023-0082-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0083";"A-2023-0083-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0084";"A-2023-0084-PG1";"Mænd";0;0;0;2;0;0;0
"A-2023-0084";"A-2023-0084-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0085";"A-2023-0085-PG1";"Mænd";0;1;1;0;0;0;0
"A-2023-0085";"A-2023-0085-PG2";"Kvinder";0;0;2;0;0;0;0
"A-2023-0087";"A-2023-0087-PG1";"Mænd";0;0;7;7;2;0;0
"A-2023-0087";"A-2023-0087-PG2";"Kvinder";0;0;7;7;0;0;0
"A-2023-0088";"A-2023-0088-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0088";"A-2023-0088-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0089";"A-2023-0089-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0090";"A-2023-0090-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0091";"A-2023-0091-PG1";"Mænd";0;0;0;1;0;1;0
"A-2023-0091";"A-2023-0091-PG2";"Kvinder";0;0;1;2;1;0;0
"A-2023-0092";"A-2023-0092-PG1";"Mænd";0;1;0;0;0;0;0
"A-2023-0093";"A-2023-0093-PG1";"Kvinder";0;0;1;1;0;0;0
"A-2023-0094";"A-2023-0094-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0094";"A-2023-0094-PG2";"Mænd";0;0;0;1;0;0;0
"A-2023-0094";"A-2023-0094-PG3";"Kvinder";0;0;0;1;0;0;0
"A-2023-0095";"A-2023-0095-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0096";"A-2023-0096-PG1";"Mænd";0;0;0;0;1;0;0
"A-2023-0096";"A-2023-0096-PG2";"Kvinder";0;0;0;0;1;0;0
"A-2023-0097";"A-2023-0097-PG1";"Mænd";0;0;0;1;4;1;1
"A-2023-0097";"A-2023-0097-PG2";"Kvinder";0;0;0;3;0;1;0
"A-2023-0098";"A-2023-0098-PG1";"Mænd";0;0;0;2;2;0;0
"A-2023-0098";"A-2023-0098-PG2";"Kvinder";0;0;0;2;2;0;0
"A-2023-0099";"A-2023-0099-PG1";"Mænd";0;0;1;0;0;0;0
"A-2023-0099";"A-2023-0099-PG2";"Kvinder";0;8;8;2;0;0;0
"A-2023-0100";"A-2023-0100-PG1";"Kvinder";0;0;0;0;1;0;0
"A-2023-0101";"A-2023-0101-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0101";"A-2023-0101-PG2";"Mænd";0;0;1;0;0;0;0
"A-2023-0102";"A-2023-0102-PG1";"Mænd";0;0;0;0;0;1;0
"A-2023-0103";"A-2023-0103-PG1";"Kvinder";0;0;1;0;0;0;0
"A-2023-0104";"A-2023-0104-PG1";"Mænd";0;0;0;0;0;0;1
"A-2023-0105";"A-2023-0105-PG1";"Mænd";0;1;5;1;0;0;0
"A-2023-0105";"A-2023-0105-PG2";"Kvinder";0;1;1;1;0;0;0
"A-2023-0106";"A-2023-0106-PG1";"Mænd";0;0;3;3;0;0;0
"A-2023-0106";"A-2023-0106-PG2";"Kvinder";0;0;1;2;0;0;0
"A-2023-0107";"A-2023-0107-PG1";"Mænd";0;0;0;0;1;1;0
"A-2023-0107";"A-2023-0107-PG2";"Kvinder";0;0;0;1;2;0;0
"A-2023-0108";"A-2023-0108-PG1";"Non-binær";0;0;0;1;0;0;0
"A-2023-0109";"A-2023-0109-PG1";"Mænd";0;0;0;1;0;0;0
"A-2023-0109";"A-2023-0109-PG2";"Kvinder";0;0;0;1;0;0;0
"A-2023-0110";"A-2023-0110-PG1";"Kvinder";0;0;0;2;0;0;0
"A-2023-0111";"A-2023-0111-PG1";"Kvinder";0;0;0;1;0;0;0
"A-2023-0112";"A-2023-0112-PG1";"Kvinder";0;0;0;0;0;1;0
