"j_nr";"report_id";"accounts_expenses_fee_total";"accounts_expenses_accommodation";"accounts_expenses_meals";"accounts_expenses_pr";"accounts_expenses_backline";"accounts_expenses_local_transport";"accounts_expenses_international_transport";"accounts_expenses_other";"accounts_expenses_total";"accounts_income_fee_total";"accounts_income_grants";"accounts_income_funds";"accounts_income_merchandise";"accounts_income_own_contribution";"accounts_income_other";"accounts_income_estimated_total";"accounts_result";"accounts_comments";"evaluation_further_opportunities";"evaluation_artistic_development";"evaluation_satisfaction"
"A-2023-0019";"A-2023-0019-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fund grants: Statens Kunstfonden DUKE Other: internal ensemble fee (30.000 dkk)  Rental of concert space (10 000 dkk) Miscellaeous (4635 dkk)";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0054";"A-2023-0054-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Som tak for kost, logi og ro på orkesterefterskolen til udarbejdelse af Sofie Meyers nye værk for os, lavede vi til gengæld en workshop og spillede en koncert.   De internationale transportomkostninger blev noget dyrere end først antaget.   De vedhæftede billetter er i euro og prisen er omregnet til dkk. ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0059";"A-2023-0059-RE1";712;200;4200;4328;2300;0;0;0;11740;4200;0;0;0;0;0;4200;7540;"Kunne desværre ikke kombinere PDFerne i én samlet . men der er kun 2 - håber det går :-)";"Ved ikke";"I høj grad";"Ved ikke"
"A-2023-0064";"A-2023-0064-RE1";19735;0;266941;32424;14150;15000;0;25750;374000;24000;0;350000;0;0;0;374000;0;"Fondsbevillinger: Andre fonde AP Møller Fonde 50.000 Augustinus Fonden 50.000 Brebøl Fonden 50.000 Axel Muusfeldts Fond 50.000 Hoffman & Husmans Fond 50.000 Statens Kunstfond 30.000 Knud Højgaards Fond 35.000 Wilhelm Hansen Fonden 25.000 Solistforeningen 10.000  Andet: Leje af koncertsteder Musikhuset Købenahvn og KoncertKirken KODA rettigheder";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0069";"A-2023-0069-RE1";0;0;0;0;0;2000;30520;0;32520;1e+05;0;0;0;0;0;1e+05;-67480;"lokal transport: benzin, tog billet: kobenhavn,svendborg,aarhus til aalborg   Christa danielsen: klarinettist Maria Pearl Weise: Danser Lucas Kruse Kristiansen: Danser amir mahyar tafreshipour: komponist ";"I meget høj grad";"I meget høj grad";"I høj grad"
"A-2023-0073";"A-2023-0073-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"FONDSBEVILIINGER: Knud Højgaards Fond William Demant Fonden Augustinus Fonden Beckett-Fonden Solistforeningen af 1921 Politiken Fonden Kvinder i Musik (specifik til videodokumentation) Hoffmann & Husmans Fond Dansk Skuespillerfond - produktionsstøtte  ANDET - indtægter: Moms til agents provision  ANDET - udgifter: Administration - herunder producent, fundraiser og agent Grafiker Oversættere (fire sprog) Filmfotograf Produktionsomkostninger - herunder køb af div til værkerne (bolde, lys etc)    ";"Ved ikke";"I høj grad";"I høj grad"
"A-2023-0076";"A-2023-0076-RE1";0;1000;500;0;0;60;2500;0;4060;1200;0;0;0;0;1200;2400;1660;"Bilag for flybillet og flybus til/fra lufthavn Reykjavik ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0081";"A-2023-0081-RE1";8252;2100;5000;3500;0;0;0;0;18852;9000;0;0;0;2000;5000;16000;2852;"-";"I meget høj grad";"I høj grad";"I meget høj grad"
"A-2023-0082";"A-2023-0082-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Fondsbevillinger - støtte fra Region Halland, til vores residency i forbindelsen med koncerterne i London.  Vores ansøgning var oprindelig til at spille på Cafe Oto, plus en koncert i Bristol og en i Manchester. Det endt med at vores koncert i Manchester blev udskudt til Februar 2024. Så tog vi beslutningen til at spille på NTS Radio i London i stedet for Bristol, hvor vi kunne nå en større publikum i gennem NTSs udsendelse.   Fordi vi blev i London, så var vores udgifter mindre, og så skulle vi ikke bruge så meget fra Region Halland's fond.";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0084";"A-2023-0084-RE1";15000;0;3885;0;0;0;1910;0;20795;0;0;15000;0;3885;0;18885;1910;"En uge før projektets start skete der desværre et uheld i Rasmus familie, der gjorde at han ikke kunne deltage i projektet. Efter aftale med Thinh fra Art Music Denmark ville vi gennemføre projektet uden Rasmus, da det ellers ville skubbe alle deadlines for det samlede projektet og dermed influere de kommende værker. Derfor er punktet for overnatning slettet, da vi aflyste hotellet og Sanna i stedet overnattede hos Oskar under projekts forløb. Det er dermed kun Sannas flybillet, vi ønsker refunderet.   Fondsbevillinger: Sanna Blennows honorarer for at deltage er støttet af Kodas Vækstlagspulje Egenfinansiering: Går til forplejning";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0088";"A-2023-0088-RE1";8944;600;0;1760;3000;0;0;0;14304;5000;6000;0;1000;9000;0;21000;-6696;"-";"I meget høj grad";"I meget høj grad";"Ved ikke"
"A-2023-0089";"A-2023-0089-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0093";"A-2023-0093-RE1";7432;0;1558;0;0;68;5006;0;14064;7432;0;0;0;540;0;7972;6092;"-";"Ved ikke";"I meget høj grad";"Slet ikke"
"A-2023-0094";"A-2023-0094-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"There were more expenses that initially planned (16.241kr) but that was personally financed. The Udgifter skabelon does not seem to update...";"I høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0100";"A-2023-0100-RE1";2521;0;0;0;0;0;0;0;2521;0;0;0;0;0;0;0;2521;"-";"I meget høj grad";"I meget høj grad";"I mindre grad"
"A-2023-0101";"A-2023-0101-RE1";0;0;0;0;0;0;3254;0;3254;11666;3000;0;0;0;0;14666;-11412;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0103";"A-2023-0103-RE1";55000;0;0;0;6000;0;2352;15042;78394;0;0;75000;0;0;0;75000;3394;"Den økonomi, der redegøres for her, handler alene om lydkunstdelen af den samlede installation.  Indtægter / Fondsbevillinger: Koda, 25.000 dkr, bevilliget som underskudsgaranti Knud Højgaards fond, 50.000 IALT 75.000   Udgifter: Honorar Jens Settergren, 26.000 Honorar Astrid Sonne, 26.000 Honorar sangere, 3.000 Studioudgifter, 6.000 Indkøb af højttalere, computer til afvikling og andet teknisk udstyr, 14.434 Transport af teknisk udstyr, 608 Flyrejse Astrid Sonne, 2.352 IALT 78.394";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0104";"A-2023-0104-RE1";4500;0;0;0;0;0;1919;0;6419;4500;0;0;0;0;0;4500;1919;"-";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0105";"A-2023-0105-RE1";37500;14250;0;4000;5500;0;12441;14250;87941;25000;0;38900;0;6041;18000;87941;0;"Fondsbevillinger er inkl. transportstøtte.  Udgifter under andet: Salsleje x3 & Lydteknikere";"I høj grad";"I meget høj grad";"I høj grad"
"A-2023-0107";"A-2023-0107-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Dansk Komponistforening (koncertproduktion og formidling)  Den Obelske Familiefond  William Demant Fonden  Art Music Denmark  Augustinus Fonden  Kulturhus Kappelborg  UMMK Region Nordjylland  Aage og Johanne Louis-Hansens Fond  Dansk Tennis Fond  SE PACKING SYSTEM   Andre udgifter: Udgifter Masterclass 40.000 Skagens Kunstmuseer 6.000 Øvrige projektudgifter 4.428 Afvikling af koncert Kulturhus Kappelborg 5.494 ";"I meget høj grad";"I meget høj grad";"I meget høj grad"
"A-2023-0109";"A-2023-0109-RE1";0;0;2000;0;0;0;4680;0;6680;17500;0;3000;0;3680;0;24180;-17500;"De 3000 kr. i fondsbevillinger dækker over Art Music Denmarks bidrag til transportudgifter.";"I meget høj grad";"I høj grad";"I høj grad"
"A-2023-0111";"A-2023-0111-RE1";0;0;0;0;0;0;1720;0;1720;6500;0;0;0;0;0;6500;-4780;"- Min rejse blev endret fra tur/retur Aarhus til afrejse fra Kolding og hjemrejse til Bornholm.   - Det blev kørt bil fra Düsseldorf-Sassnitz, hvilket har blivet dækket af projektet og er derfor ikke med i dette budget.   - I vedhæftet bilag findes der billetter i norske kroner samt i euro, dette er omregnet til danske kroner. ";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0112";"A-2023-0112-RE1";0;0;0;0;0;0;3189;0;3189;0;0;0;0;0;0;0;3189;"-";"I høj grad";"I høj grad";"I høj grad"
"A-2023-0113";"A-2023-0113-RE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Andet: Honarer til de arrangerende kustnerer";"I høj grad";"I høj grad";"I høj grad"
